design_id,call_deltas,call_spread_widths,dte,put_deltas,put_spread_widths,strategy_type,take_profit_pct
210,0.03,,3,-0.075,,short_strangle,0.75
211,0.01,,3,-0.075,,short_strangle,0.875
212,0.02,,3,-0.075,,short_strangle,0.875
213,0.03,,3,-0.075,,short_strangle,0.875
214,0.01,,3,-0.075,,short_strangle,1.0
215,0.02,,3,-0.075,,short_strangle,1.0
216,0.03,,3,-0.075,,short_strangle,1.0
217,0.01,,4,-0.075,,short_strangle,0.75
218,0.02,,4,-0.075,,short_strangle,0.75
219,0.03,,4,-0.075,,short_strangle,0.75
220,0.01,,4,-0.075,,short_strangle,0.875
221,0.02,,4,-0.075,,short_strangle,0.875
222,0.03,,4,-0.075,,short_strangle,0.875
223,0.01,,4,-0.075,,short_strangle,1.0
224,0.02,,4,-0.075,,short_strangle,1.0
225,0.03,,4,-0.075,,short_strangle,1.0
226,0.01,50,0,-0.055,50,short_iron_condor,0.75
227,0.02,50,0,-0.055,50,short_iron_condor,0.75
228,0.03,50,0,-0.055,50,short_iron_condor,0.75
229,0.01,50,0,-0.055,50,short_iron_condor,0.875
230,0.02,50,0,-0.055,50,short_iron_condor,0.875
231,0.03,50,0,-0.055,50,short_iron_condor,0.875
232,0.01,50,0,-0.055,50,short_iron_condor,1.0
233,0.02,50,0,-0.055,50,short_iron_condor,1.0
234,0.03,50,0,-0.055,50,short_iron_condor,1.0
235,0.01,50,1,-0.055,50,short_iron_condor,0.75
236,0.02,50,1,-0.055,50,short_iron_condor,0.75
237,0.03,50,1,-0.055,50,short_iron_condor,0.75
238,0.01,50,1,-0.055,50,short_iron_condor,0.875
239,0.02,50,1,-0.055,50,short_iron_condor,0.875
240,0.03,50,1,-0.055,50,short_iron_condor,0.875
241,0.01,50,1,-0.055,50,short_iron_condor,1.0
242,0.02,50,1,-0.055,50,short_iron_condor,1.0
243,0.03,50,1,-0.055,50,short_iron_condor,1.0
244,0.01,50,2,-0.055,50,short_iron_condor,0.75
245,0.02,50,2,-0.055,50,short_iron_condor,0.75
246,0.03,50,2,-0.055,50,short_iron_condor,0.75
247,0.01,50,2,-0.055,50,short_iron_condor,0.875
248,0.02,50,2,-0.055,50,short_iron_condor,0.875
249,0.03,50,2,-0.055,50,short_iron_condor,0.875
250,0.01,50,2,-0.055,50,short_iron_condor,1.0
251,0.02,50,2,-0.055,50,short_iron_condor,1.0
252,0.03,50,2,-0.055,50,short_iron_condor,1.0
253,0.01,50,3,-0.055,50,short_iron_condor,0.75
254,0.02,50,3,-0.055,50,short_iron_condor,0.75
255,0.03,50,3,-0.055,50,short_iron_condor,0.75
256,0.01,50,3,-0.055,50,short_iron_condor,0.875
257,0.02,50,3,-0.055,50,short_iron_condor,0.875
258,0.03,50,3,-0.055,50,short_iron_condor,0.875
259,0.01,50,3,-0.055,50,short_iron_condor,1.0
260,0.02,50,3,-0.055,50,short_iron_condor,1.0
261,0.03,50,3,-0.055,50,short_iron_condor,1.0
262,0.01,50,4,-0.055,50,short_iron_condor,0.75
263,0.02,50,4,-0.055,50,short_iron_condor,0.75
264,0.03,50,4,-0.055,50,short_iron_condor,0.75
265,0.01,50,4,-0.055,50,short_iron_condor,0.875
266,0.02,50,4,-0.055,50,short_iron_condor,0.875
267,0.03,50,4,-0.055,50,short_iron_condor,0.875
268,0.01,50,4,-0.055,50,short_iron_condor,1.0
269,0.02,50,4,-0.055,50,short_iron_condor,1.0
270,0.03,50,4,-0.055,50,short_iron_condor,1.0
271,0.01,50,0,-0.065,50,short_iron_condor,0.75
272,0.02,50,0,-0.065,50,short_iron_condor,0.75
273,0.03,50,0,-0.065,50,short_iron_condor,0.75
274,0.01,50,0,-0.065,50,short_iron_condor,0.875
275,0.02,50,0,-0.065,50,short_iron_condor,0.875
276,0.03,50,0,-0.065,50,short_iron_condor,0.875
277,0.01,50,0,-0.065,50,short_iron_condor,1.0
278,0.02,50,0,-0.065,50,short_iron_condor,1.0
279,0.03,50,0,-0.065,50,short_iron_condor,1.0
280,0.01,50,1,-0.065,50,short_iron_condor,0.75
281,0.02,50,1,-0.065,50,short_iron_condor,0.75
282,0.03,50,1,-0.065,50,short_iron_condor,0.75
283,0.01,50,1,-0.065,50,short_iron_condor,0.875
284,0.02,50,1,-0.065,50,short_iron_condor,0.875
285,0.03,50,1,-0.065,50,short_iron_condor,0.875
286,0.01,50,1,-0.065,50,short_iron_condor,1.0
287,0.02,50,1,-0.065,50,short_iron_condor,1.0
288,0.03,50,1,-0.065,50,short_iron_condor,1.0
